no,x,y,shape_labels,video_labels
1,1.0097501278,-0.2480547726,1,1
1,0.9062969089,-0.2429874241,1,1
1,1.0873086452,-0.6767798066,1,1
1,1.4543719292,-0.943392694,1,1
1,1.0670105219,-0.2375469506,1,1
1,0.3096175194,-0.4199502766,1,1
1,1.1797862053,-0.1371798813,1,1
1,1.2913212776,-0.3605128825,1,1
1,0.9398690462,-0.4665921032,1,1
1,1.1767990589,-0.1559517682,1,1
1,1.1432703733,0.1558640897,1,1
1,0.8032910824,-0.3186290562,1,1
1,1.0652781725,-0.56467098,1,1
1,0.7934314609,-0.4858449996,1,1
1,0.7325119972,-0.6415194869,1,1
1,1.1873607635,-0.1130558625,1,1
1,1.4016215801,-0.7466048598,1,1
1,1.478320837,-0.6880996823,1,1
1,1.6744369268,-0.5660770535,1,1
1,1.099160552,-0.3213881552,1,1
1,1.9053304195,-0.8121702075,1,1
1,1.5982552767,-0.3492350876,1,1
1,0.71296525,-0.6092254519,1,1
1,0.0511320382,-0.0525551215,1,1
1,0.4835128784,-0.0918867961,1,1
1,1.1930458546,0.2305253446,1,1
1,1.079308629,-1.1104662418,1,2
1,1.030200839,-0.7392291427,1,2
1,0.6910283566,-1.3489906788,1,2
1,1.1294167042,-0.8370627761,1,2
1,1.5611224174,-0.7381392121,1,2
1,1.8608868122,-0.7360039353,1,2
1,1.4996484518,0.0544657335,1,2
1,1.0595382452,0.3935945928,1,2
1,1.6012760401,0.1219477281,1,2
1,1.4719082117,0.0840608701,1,2
1,0.8033442497,-0.2737310231,1,2
1,1.0116539001,-0.0109804049,1,2
1,1.2872462273,0.2883083522,1,2
1,1.3142802715,-0.0140989199,1,2
1,0.7996664047,0.7130340934,1,2
1,0.480807662,0.6018216014,1,2
